GISJOIN,GEOGYEAR,STATE,STATEA,COUNTY,COUNTYA,TRACTA,BLCK_GRPA,CL8AA2000,CL8AA2000L,CL8AA2000U,CL8AA2010,GEOID10
"G53003300215002","2010","Washington","53","King County","033","021500","2",1002.00,1002,1002,1010,"530330215002"
"G53003300215003","2010","Washington","53","King County","033","021500","3",1465.00,1465,1465,1471,"530330215003"
"G53003300215004","2010","Washington","53","King County","033","021500","4",869.00,869,869,831,"530330215004"
"G53003300216001","2010","Washington","53","King County","033","021600","1",1435.00,1435,1435,1393,"530330216001"
"G53003300216002","2010","Washington","53","King County","033","021600","2",838.00,838,838,823,"530330216002"
"G53003300216003","2010","Washington","53","King County","033","021600","3",1379.00,1379,1379,1296,"530330216003"
"G53003300216004","2010","Washington","53","King County","033","021600","4",1074.00,1074,1074,1001,"530330216004"
"G53003300217001","2010","Washington","53","King County","033","021700","1",1070.00,1070,1070,1454,"530330217001"
"G53003300217002","2010","Washington","53","King County","033","021700","2",935.00,935,935,1716,"530330217002"
"G53003300217003","2010","Washington","53","King County","033","021700","3",808.00,808,808,1253,"530330217003"
"G53003300217004","2010","Washington","53","King County","033","021700","4",1047.00,1047,1047,1480,"530330217004"
"G53003300217005","2010","Washington","53","King County","033","021700","5",1392.00,1392,1392,1778,"530330217005"
"G53003300218021","2010","Washington","53","King County","033","021802","1",1183.00,1183,1183,1826,"530330218021"
"G53003300218022","2010","Washington","53","King County","033","021802","2",1762.00,1762,1762,2034,"530330218022"
"G53003300218023","2010","Washington","53","King County","033","021802","3",1160.00,1160,1160,1541,"530330218023"
"G53003300218031","2010","Washington","53","King County","033","021803","1",1497.40,558,1512,1458,"530330218031"
"G53003300218032","2010","Washington","53","King County","033","021803","2",831.00,831,831,783,"530330218032"
"G53003300218033","2010","Washington","53","King County","033","021803","3",852.00,852,852,1060,"530330218033"
"G53003300218034","2010","Washington","53","King County","033","021803","4",955.00,955,955,1047,"530330218034"
"G53003300218041","2010","Washington","53","King County","033","021804","1",1738.00,1738,1738,1710,"530330218041"
"G53003300218042","2010","Washington","53","King County","033","021804","2",1419.00,1419,1419,1568,"530330218042"
"G53003300218043","2010","Washington","53","King County","033","021804","3",1069.00,1069,1069,1096,"530330218043"
"G53003300219031","2010","Washington","53","King County","033","021903","1",2279.00,2279,2279,2010,"530330219031"
